PIN,Age,Sex,Nationality,Ethinicity,HL,HW,FL,FW,NL,NW,CI,NI,FI
3,20,1,2,1,19.35,15.40,12.75,15.35,6.15,3.85,79.59,62.60,83.06
11,20,1,2,1,18.55,15.80,13.80,15.25,6.15,3.70,85.18,60.16,90.49
32,19,1,2,1,18.60,15.65,13.75,15.60,6.50,3.60,84.14,55.38,88.14
34,19,1,2,1,18.35,13.95,12.90,14.80,5.95,3.40,76.02,57.14,87.16
114,21,1,2,1,17.05,13.63,9.70,14.05,3.60,2.75,79.94,76.39,69.04
122,21,1,2,1,18.95,14.83,11.45,15.50,4.45,3.10,78.26,69.66,73.87
123,20,1,2,1,19.05,15.00,11.65,15.35,4.10,3.30,78.74,80.49,75.90
132,21,1,2,1,17.90,15.05,9.70,14.70,3.85,3.00,84.08,77.92,65.99
173,21,1,2,1,18.45,15.27,11.10,15.50,4.13,3.50,82.76,84.75,71.61
182,21,1,2,1,17.55,15.35,10.75,14.45,4.45,3.05,87.46,68.54,74.39
183,19,1,2,1,18.10,15.15,11.60,14.80,4.57,3.10,83.70,67.83,78.38
188,21,1,2,1,19.15,15.20,11.25,15.00,4.45,3.80,79.37,85.39,75.00
206,20,1,2,1,18.30,14.40,11.55,15.40,4.65,3.55,78.69,76.34,75.00
209,22,1,2,1,18.60,16.05,11.35,16.75,4.45,3.60,86.29,80.90,67.76
210,21,1,2,1,18.00,15.75,11.45,15.30,4.70,3.30,87.50,70.21,74.84
211,21,1,2,1,18.15,16.30,10.50,14.55,4.35,3.40,89.81,78.16,72.16
228,20,1,2,1,17.90,15.05,11.45,15.15,4.50,3.35,84.08,74.44,75.58
243,21,1,2,1,18.85,16.55,11.25,15.50,4.35,3.60,87.80,82.76,72.58
244,21,1,2,1,18.30,14.55,10.70,14.00,4.85,3.35,79.51,69.07,76.43
246,22,1,2,1,19.70,15.60,11.55,14.80,4.95,3.15,79.19,63.64,78.04
247,18,1,2,1,18.10,15.50,11.40,14.95,4.50,2.85,85.64,63.33,76.25
274,19,1,2,1,18.15,15.30,11.90,12.70,5.70,3.50,84.30,61.40,93.70
2,19,2,2,1,17.75,15.60,11.70,15.45,5.35,4.05,87.89,75.70,75.73
12,21,2,2,1,16.40,13.35,12.20,13.55,5.75,3.70,81.40,64.35,90.04
33,20,2,2,1,16.20,12.95,11.10,13.85,4.80,3.55,79.94,73.96,80.14
36,19,2,2,1,17.35,14.70,11.30,15.00,5.60,3.75,84.73,66.96,75.33
101,22,2,2,1,18.20,15.35,11.10,14.90,4.60,3.20,84.34,69.57,74.50
116,21,2,2,1,17.45,14.00,11.30,14.95,4.05,3.00,80.23,74.07,75.59
117,22,2,2,1,17.80,14.00,9.80,14.75,3.60,2.65,78.65,73.61,66.44
118,21,2,2,1,16.30,14.07,9.10,13.45,3.15,3.00,86.32,95.24,67.66
119,20,2,2,1,17.80,13.53,10.55,14.35,3.80,3.00,76.01,78.95,73.52
121,20,2,2,1,17.15,13.30,10.05,14.20,3.70,3.10,77.55,83.78,70.77
134,21,2,2,1,17.45,14.15,10.20,14.20,3.80,2.80,81.09,73.68,71.83
171,19,2,2,1,16.75,13.50,9.55,13.65,3.55,3.27,80.60,92.11,69.96
172,21,2,2,1,17.05,13.75,9.35,13.70,3.50,2.95,80.65,84.29,68.25
185,20,2,2,1,17.65,14.23,10.35,14.75,4.05,3.55,80.59,87.65,70.17
186,22,2,2,1,17.27,14.83,10.50,14.25,3.60,3.15,85.87,87.50,73.68
208,23,2,2,1,16.45,15.20,10.70,14.50,4.05,3.40,92.40,83.95,73.79
234,24,2,2,1,17.40,14.45,10.15,14.60,4.10,3.20,83.05,78.05,69.52
236,23,2,2,1,16.65,12.60,9.60,13.85,4.15,3.20,75.68,77.11,69.31
272,18,2,2,1,16.15,15.30,10.45,12.90,5.05,3.50,94.74,69.31,81.01
273,18,2,2,1,17.25,14.20,12.00,12.90,6.05,3.15,82.32,52.07,93.02
31,23,1,2,2,18.60,14.70,11.85,14.35,5.20,3.80,79.03,73.08,82.58
99,18,1,2,2,17.60,13.60,11.25,13.95,4.60,3.20,77.27,69.57,80.65
102,21,1,2,2,18.20,14.30,10.50,14.00,4.25,2.95,78.57,69.41,75.00
181,19,1,2,2,19.95,15.05,10.60,13.65,4.20,2.75,75.44,65.48,77.66
184,21,1,2,2,19.95,15.05,10.90,14.45,4.00,3.00,75.44,75.00,75.43
194,20,1,2,2,18.80,13.55,11.10,14.00,4.30,2.90,72.07,67.44,79.29
197,21,1,2,2,18.05,14.90,10.60,13.75,4.65,2.55,82.55,54.84,77.09
214,19,1,2,2,18.80,15.65,10.70,15.30,4.45,3.10,83.24,69.66,69.93
216,21,1,2,2,18.00,14.70,10.65,15.00,4.65,3.00,81.67,64.52,71.00
249,18,1,2,2,17.85,14.37,10.75,13.70,4.55,3.20,80.50,70.33,78.47
258,26,1,2,2,18.20,14.05,10.40,13.90,4.40,3.60,77.20,81.82,74.82
263,25,1,2,2,18.05,13.60,10.50,14.05,4.55,3.25,75.35,71.43,74.73
264,26,1,2,2,18.30,14.00,10.80,14.10,4.60,3.20,76.50,69.57,76.60
265,18,1,2,2,17.20,14.40,10.45,13.55,4.60,2.90,83.72,63.04,77.12
266,18,1,2,2,19.00,14.10,10.35,14.10,4.40,3.50,74.21,79.55,73.40
267,20,1,2,2,19.55,15.80,10.90,15.00,4.50,3.30,80.82,73.33,72.67
268,22,1,2,2,18.05,14.05,10.25,13.60,3.95,3.60,77.84,91.14,75.37
269,22,1,2,2,18.00,15.10,11.70,13.90,4.80,3.30,83.89,68.75,84.17
271,18,1,2,2,18.10,14.40,11.15,13.30,5.70,3.20,79.56,56.14,83.83
275,23,1,2,2,18.75,13.95,10.50,13.45,4.40,3.30,74.40,75.00,78.07
281,21,1,2,2,18.25,15.45,11.50,14.25,4.55,3.30,84.66,72.53,80.70
283,19,1,2,2,18.15,13.90,12.05,13.25,5.15,3.35,76.58,65.05,90.94
26,21,2,2,2,16.75,14.30,11.30,12.85,5.55,3.00,85.37,54.05,87.94
46,18,2,2,2,17.95,13.25,10.40,13.55,3.75,2.85,73.82,76.00,76.75
100,20,2,2,2,17.20,13.70,10.20,12.85,4.75,2.90,79.65,61.05,79.38
104,21,2,2,2,17.00,13.70,10.30,12.75,4.65,2.40,80.59,51.61,80.78
111,21,2,2,2,16.60,13.25,10.45,12.85,4.90,2.45,79.82,50.00,81.32
112,22,2,2,2,17.45,13.35,10.30,13.45,4.85,2.80,76.50,57.73,76.58
113,23,2,2,2,16.80,13.60,9.00,12.90,4.10,3.20,80.95,78.05,69.77
115,21,2,2,2,17.25,12.80,9.55,12.30,4.10,2.30,74.20,56.10,77.64
187,22,2,2,2,17.20,13.20,9.05,12.95,3.25,2.90,76.74,89.23,69.88
196,22,2,2,2,15.95,13.65,9.70,12.90,4.15,2.85,85.58,68.67,75.19
199,21,2,2,2,16.95,13.80,9.30,12.30,4.35,2.65,81.42,60.92,75.61
200,20,2,2,2,18.15,13.85,10.10,14.60,4.10,2.75,76.31,67.07,69.18
213,20,2,2,2,17.20,14.60,11.00,13.55,4.75,2.55,84.88,53.68,81.18
245,20,2,2,2,16.95,13.60,10.40,13.20,4.40,3.00,80.24,68.18,78.79
250,25,2,2,2,17.75,14.55,10.60,13.90,4.15,3.15,81.97,75.90,76.26
251,23,2,2,2,18.20,14.05,10.25,12.60,5.40,3.35,77.20,62.04,81.35
257,25,2,2,2,16.40,13.50,10.35,13.00,4.30,2.50,82.32,58.14,79.62
270,19,2,2,2,17.20,13.60,10.95,11.15,5.15,2.40,79.07,46.60,98.21
280,20,2,2,2,17.60,13.65,10.70,12.95,4.60,2.65,77.56,57.61,82.63
282,20,2,2,2,16.90,13.45,10.45,13.40,4.30,2.70,79.59,62.79,77.99
24,21,2,2,3,16.95,13.80,11.20,13.15,5.20,3.25,81.42,62.50,85.17
25,21,2,2,3,18.05,14.00,11.55,13.80,5.60,3.40,77.56,60.71,83.70
49,21,2,2,3,16.80,14.50,9.80,13.90,3.75,3.00,86.31,80.00,70.50
50,20,2,2,3,17.25,13.70,9.15,13.25,3.95,2.85,79.42,72.15,69.06
105,22,2,2,3,15.35,15.25,10.05,13.55,4.60,2.70,99.35,58.70,74.17
106,22,2,2,3,18.35,15.40,10.85,15.05,4.00,3.45,83.92,86.25,72.09
108,24,2,2,3,17.00,14.60,10.50,13.65,4.50,3.60,85.88,80.00,76.92
109,22,2,2,3,17.55,13.90,10.75,13.20,4.40,3.30,79.20,75.00,81.44
110,23,2,2,3,16.50,14.30,11.35,13.40,4.70,2.55,86.67,54.26,84.70
124,22,2,2,3,16.40,12.75,10.00,13.40,3.70,2.93,77.74,79.19,74.63
125,22,2,2,3,16.60,12.80,9.70,13.80,4.00,2.85,77.11,71.25,70.29
135,22,2,2,3,16.75,13.65,9.75,13.50,3.90,3.00,81.49,76.92,72.22
202,19,2,2,3,16.60,15.15,9.75,14.05,4.05,3.00,91.27,74.07,69.40
